05.01.2020-20:59:51: Running script backup version 1.3
05.01.2020-20:59:59: Copied 19.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Eins
05.01.2020-20:59:59: Copied 2.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Eins
05.01.2020-20:59:59: Copied 3.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Eins
05.01.2020-20:59:59: Copied 4.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Eins
05.01.2020-20:59:59: Copied 5.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Eins
05.01.2020-20:59:59: Copied 6.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Eins
05.01.2020-20:59:59: Copied 7.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Eins
05.01.2020-20:59:59: Copied 8.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Eins
05.01.2020-20:59:59: Copied 9.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Eins
05.01.2020-20:59:59: Created directory Ordner Zwei
05.01.2020-20:59:59: Copied 0.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Zwei
05.01.2020-20:59:59: Copied 1.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Zwei
05.01.2020-20:59:59: Copied 10.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Zwei
05.01.2020-20:59:59: Copied 11.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Zwei
05.01.2020-20:59:59: Copied 12.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Zwei
05.01.2020-20:59:59: Copied 13.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Zwei
05.01.2020-21:00:00: Copied 14.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Zwei
05.01.2020-21:00:00: Copied 15.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Zwei
05.01.2020-21:00:00: Copied 16.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Zwei
05.01.2020-21:00:00: Copied 17.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Zwei
05.01.2020-21:00:00: Copied 18.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Zwei
05.01.2020-21:00:00: Copied 19.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Zwei
05.01.2020-21:00:00: Copied 2.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Zwei
05.01.2020-21:00:00: Copied 3.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Zwei
05.01.2020-21:00:00: Copied 4.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Zwei
05.01.2020-21:00:00: Copied 5.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Zwei
05.01.2020-21:00:00: Copied 6.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Zwei
05.01.2020-21:00:00: Copied 7.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Zwei
05.01.2020-21:00:00: Copied 8.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Zwei
05.01.2020-21:00:00: Copied 9.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Zwei\Ordner Zwei
05.01.2020-21:00:00: copy of files finished
05.01.2020-21:00:00: created 12/12 directories
05.01.2020-21:00:00: copied 180/180 files
05.01.2020-21:00:00: Backup SUCCESSFUL, all files have been copied
